id,name,absolute_magnitude_h,is_potentially_hazardous,is_sentry_object,date_observed,est_diameter_min_km,est_diameter_max_km,relative_velocity_kmph,miss_distance_km,orbiting_body
54212701,(2021 UH2),25.13,False,False,2024-01-07,0.0250354255,0.0559809132,17887.5007576928,24614176.510914747,Earth
54419021,(2024 AW),25.53,False,False,2024-01-07,0.0208235599,0.0465628955,30585.5739394365,4280156.357123434,Earth
54419611,(2024 AL2),27.38,False,False,2024-01-07,0.0088829042,0.0198627775,23938.5466214872,1496555.69898459,Earth
54418797,(2024 AM),27.83,False,True,2024-01-07,0.0072202956,0.0161450717,32484.0768586214,1209360.071804936,Earth
54418496,(2023 YV1),23.68,False,False,2024-01-07,0.0488151892,0.1091540813,29233.776157356,8449915.634659326,Earth
54514905,(2025 AK2),21.74,True,False,2024-01-07,0.1192765246,0.2667104172,65937.2148635522,28270555.197971087,Earth
3147312,(2003 BN1),20.61,False,False,2024-01-13,0.2007035141,0.4487867009,115531.9780643672,23819465.816301223,Earth
3728898,(2015 TF),22.14,False,False,2024-01-13,0.0992098919,0.2218400624,60122.448818455,64038916.31106215,Earth
3781591,(2017 SM2),27.3,False,False,2024-01-13,0.0092162655,0.0206081961,27564.4808280082,13571308.28219691,Earth
3790060,(2017 WP28),20.92,False,False,2024-01-13,0.1740022951,0.38908096,158279.8647013056,74052823.14814787,Earth
3826624,(2018 PW7),24.39,False,False,2024-01-13,0.035200998,0.0787118244,63740.7546240269,37766467.69666857,Earth
3986679,(2020 AK3),26.13,False,False,2024-01-13,0.0157962856,0.0353215683,63251.5627531602,59593026.74191647,Earth
3986764,(2020 BM1),25.6,False,False,2024-01-13,0.0201629919,0.0450858206,62003.9254699703,35392214.0239375,Earth
54101343,(2020 YG1),27.1,False,False,2024-01-13,0.0101054342,0.0225964377,61539.2642436494,62113380.177814186,Earth
54194973,(2021 RL7),28.27,False,False,2024-01-13,0.0058959661,0.013183781,27460.6156683288,12143688.658008724,Earth
54216277,(2021 VB2),28.34,False,True,2024-01-13,0.0057089334,0.0127655632,26810.1176205747,11668026.657205457,Earth
54378334,(2023 QS4),26.58,False,False,2024-01-13,0.012839703,0.0287104486,16830.2671851207,18979408.299386043,Earth
54419486,(2024 AR1),26.05,False,False,2024-01-13,0.0163890951,0.0366471308,16309.8765264169,3835831.774052666,Earth
54419701,(2024 AW2),26.32,False,False,2024-01-13,0.0144728805,0.0323623447,24277.1294123276,4189545.809891867,Earth
54420441,(2024 AD4),24.81,False,False,2024-01-13,0.0290104841,0.0648694146,47241.7614445212,8339548.758881735,Earth
54420151,(2024 AP3),24.34,False,False,2024-01-13,0.0360209346,0.0805452583,54307.592882131,12631248.671086062,Earth
54421380,(2024 BV),27.43,False,False,2024-01-13,0.0086807046,0.0194106455,66621.2117804896,2160514.72862263,Earth
54421910,(2024 BY1),25.71,False,False,2024-01-13,0.0191670368,0.0428587972,48083.1123424572,3047049.149354272,Earth
3266506,(2005 BH14),21.44,False,False,2024-01-12,0.1369477737,0.3062245314,62818.3146356222,48698372.00450965,Earth
3787093,(2017 UN1),24.75,False,False,2024-01-12,0.0298232505,0.0666868155,46953.6531006053,10739110.531591762,Earth
3797456,(2018 AN2),24.8,False,False,2024-01-12,0.0291443905,0.0651688382,41098.8159853024,21355510.119162884,Earth
3884015,(2019 UY8),24.96,False,False,2024-01-12,0.0270741591,0.0605396602,35357.5497170281,55860843.343460545,Earth
54240512,(2022 BS4),25.42,False,False,2024-01-12,0.0219055911,0.0489823908,74723.7485113142,59741004.22762778,Earth
54419014,(2024 AP),22.09,False,False,2024-01-12,0.1015207872,0.2270073813,72963.0535551091,13269037.019426728,Earth
54419484,(2024 AP1),25.28,False,False,2024-01-12,0.0233644185,0.052244428,19328.2611937866,16901608.073140215,Earth
54419695,(2024 AR2),26.42,False,False,2024-01-12,0.0138214936,0.0309057992,69101.4816209329,1267189.536979143,Earth
54420156,(2024 AW3),21.76,False,False,2024-01-12,0.1181829909,0.2642652014,75132.4170737232,19419727.264849477,Earth
54421916,(2024 BF2),25.68,False,False,2024-01-12,0.0194336768,0.0434550225,27147.6778181788,11219167.972132007,Earth
3312035,(2006 AM8),19.59,False,False,2024-01-15,0.3210369174,0.7178603705,142531.3920539412,64141071.4605597,Earth
3632236,(2013 EH89),20.18,False,False,2024-01-15,0.2446554962,0.5470663205,34158.6891445504,15343813.244408803,Earth
3703319,(2015 AK1),24.27,False,False,2024-01-15,0.037201031,0.0831840342,47607.5125496336,6069534.507971988,Earth
3757000,(2016 PQ8),22.1,False,False,2024-01-15,0.1010543415,0.2259643771,27726.6546114294,56229944.68709263,Earth
3905993,(2019 XK1),26.0,False,False,2024-01-15,0.0167708462,0.0375007522,59304.1577924905,68558756.11657175,Earth
54137806,(2021 GL16),26.28,False,True,2024-01-15,0.0147419515,0.0329640056,20362.4832632232,28234939.849628493,Earth
54292689,(2022 OJ5),28.85,False,False,2024-01-15,0.0045139316,0.010093458,21337.0849578699,22652204.694444254,Earth
54377191,(2023 QP),23.43,False,False,2024-01-15,0.0547715431,0.1224728936,43558.8157881619,62756295.15540103,Earth
54382061,(2023 RE4),26.83,False,False,2024-01-15,0.0114433973,0.0255882143,18935.6607875811,52066045.60691825,Earth
54416964,(2023 XW14),21.41,True,False,2024-01-15,0.138852907,0.310484539,92980.7776784365,14754761.353910133,Earth
54419697,(2024 AT2),27.34,False,False,2024-01-15,0.0090480497,0.0202320542,31458.3660482422,1434550.089591037,Earth
54418266,(2023 YP1),20.27,False,False,2024-01-15,0.2347226375,0.5248557734,69527.3586082124,23653391.027462404,Earth
54419808,(2024 AD3),20.93,False,False,2024-01-15,0.1732028271,0.3872932954,37099.7873054291,62450039.08408723,Earth
54419818,(2024 AN3),25.05,False,False,2024-01-15,0.0259749653,0.0580817882,33967.6287233991,9565774.614228766,Earth
54427461,(2024 BA16),28.94,False,False,2024-01-15,0.0043306689,0.0096836699,32193.9856882036,140009.708677877,Earth
2670011,670011 (2013 EH89),20.08,False,False,2024-01-15,0.2561857545,0.5728487619,34158.6924043177,15343807.67936804,Earth
54445919,(2024 LK1),24.05,False,False,2024-01-15,0.0411675457,0.0920534307,66805.1305718407,58648738.04390008,Earth
54576634,(2026 BT),28.692,False,False,2024-01-15,0.004854617,0.0108552537,34928.4195896635,18788843.47156058,Earth
2430804,430804 (2005 AD13),17.89,True,False,2024-01-14,0.7023522477,1.57050737,104426.5700733944,20388990.938307904,Earth
3591722,(2011 YJ28),21.32,True,False,2024-01-14,0.1447288051,0.3236234466,51262.2347094626,20141228.786067706,Earth
3655395,(2013 YM2),25.7,False,False,2024-01-14,0.0192555078,0.0430566244,35494.6811692365,28231576.50055643,Earth
3741440,(2016 CL18),23.93,False,False,2024-01-14,0.0435065831,0.0972836774,52807.5611326127,13597914.457853641,Earth
3831897,(2018 UM1),23.64,False,False,2024-01-14,0.0497227313,0.1111834072,24094.766857775,51695393.4719266,Earth
3836709,(2018 XC),25.7,False,False,2024-01-14,0.0192555078,0.0430566244,45757.6956314381,47704272.87058275,Earth
3840783,(2019 GE1),27.0,False,False,2024-01-14,0.0105816886,0.023661375,21128.6396535877,33397350.73714138,Earth
54145781,(2021 KB),26.02,False,False,2024-01-14,0.0166170902,0.0371569432,65421.6017590868,27918436.817892667,Earth
54312818,(2022 SL49),22.86,False,False,2024-01-14,0.0712122941,0.1592355304,44165.6261345696,58705504.7807656,Earth
54354331,(2023 GM1),27.29,False,True,2024-01-14,0.0092588058,0.0207033192,23440.8025502854,42856113.31254581,Earth
54407117,(2023 WT1),22.42,False,False,2024-01-14,0.0872077289,0.19500241,36007.3581333725,19684446.335654177,Earth
54419125,(2024 AY),24.38,False,False,2024-01-14,0.0353634784,0.0790751417,10984.9626137281,25913941.32816149,Earth
54419811,(2024 AG3),27.67,False,False,2024-01-14,0.007772397,0.0173796081,35260.3648467278,1698374.116339526,Earth
54420784,(2024 AQ4),25.76,False,False,2024-01-14,0.0187307418,0.0418832119,35259.3528833588,1245350.80608272,Earth
54421076,(2024 BK),24.71,False,False,2024-01-14,0.0303777061,0.0679266159,55652.9949778662,3310172.579357977,Earth
54422165,(2024 BV2),27.67,False,False,2024-01-14,0.007772397,0.0173796081,19116.8038477712,3877364.06222886,Earth
54421642,(2024 BO1),25.2,False,False,2024-01-14,0.0242412481,0.0542050786,56285.9640915746,21310976.164684925,Earth
54421649,(2024 BV1),27.21,False,False,2024-01-14,0.0096062741,0.021480282,41574.1244745762,3174463.330729416,Earth
54420280,(2024 AZ3),28.78,False,True,2024-01-14,0.0046618144,0.0104241338,36067.9313931239,248883.478034571,Earth
54419810,(2024 AF3),26.96,False,False,2024-01-14,0.0107784169,0.0241012728,24253.6307445184,3363542.412349188,Earth
54421067,(2024 BE),24.04,False,False,2024-01-14,0.0413575665,0.0924783301,40914.9535248713,10624155.653698929,Earth
54425754,(2024 CT1),22.35,False,False,2024-01-14,0.0900647767,0.2013909631,43571.8742749121,26565413.48342978,Earth
3605793,(2012 MP),21.07,False,False,2024-01-09,0.1623883902,0.3631114793,33170.5344688665,71411544.78727986,Earth
3633148,(2013 FC11),20.41,False,False,2024-01-09,0.2200670271,0.4920848322,49701.7649029334,73404426.26133338,Earth
3781028,(2017 QP17),19.6,False,False,2024-01-09,0.3195618867,0.7145621017,73450.0862870746,58688124.05143539,Earth
54336914,(2022 YS5),24.84,False,False,2024-01-09,0.0286124454,0.0639793729,21239.8904306662,8646331.115502194,Earth
54416849,(2023 XN13),28.16,False,False,2024-01-09,0.0062023315,0.0138688349,5175.7998799977,6032641.279664068,Earth
54419487,(2024 AS1),27.32,False,True,2024-01-09,0.0091317703,0.020419259,60426.3484590052,579850.46959007,Earth
54419814,(2024 AK3),23.88,False,False,2024-01-09,0.0445199816,0.0995497053,38879.0760999744,21319889.654573135,Earth
54421379,(2024 BU),28.3,False,False,2024-01-09,0.0058150704,0.0130028927,25309.2722140752,2739335.81526923,Earth
54423142,(2024 BE4),26.38,False,False,2024-01-09,0.0140784543,0.0314803809,27404.5703750143,7101308.474198198,Earth
54471039,(2024 RX13),31.06,False,False,2024-01-09,0.0016313794,0.0036478753,17080.2660612558,31731437.907492515,Earth
54516463,(2025 BE1),26.47,False,False,2024-01-09,0.013506878,0.0302022973,24950.3597133756,18541709.405977573,Earth
3092124,(1994 GL),25.5,False,False,2024-01-11,0.0211132445,0.0472106499,28479.7466580575,68392432.77087192,Earth
3363430,(2006 XY2),22.5,False,False,2024-01-11,0.0840533402,0.1879489824,33313.5095583514,50573342.875874445,Earth
3485632,(2010 AG40),22.01,False,False,2024-01-11,0.1053307015,0.2355266087,95563.0908197035,46379981.28807228,Earth
3596491,(2012 BU61),21.48,True,False,2024-01-11,0.1344481952,0.3006353038,106507.8063289829,31235090.515531376,Earth
3608667,(2012 RT16),26.9,False,False,2024-01-11,0.0110803882,0.0247765013,53808.1831093684,34186335.348883845,Earth
3722209,(2015 MO66),20.1,False,False,2024-01-11,0.2538370294,0.5675968529,77723.9273332328,48943737.823269255,Earth
3725756,(2015 OX78),19.84,False,False,2024-01-11,0.2861244538,0.6397937287,75003.9390239879,47519518.304349795,Earth
